	title	lat	lng
602	Stone Mountain	33.82433	-84.108575
603	Decatur	33.710625	-84.271511
604	Loganville	33.843648	-83.908362
605	Simpsonville	34.71576	-82.25587
606	Cleveland	33.747637	-90.715734
607	Decatur	33.723498	-84.168659
608	Bryant	34.610084	-92.493701
609	Union City	33.56868	-84.54003
610	Bryant	34.616904	-92.516077
611	Statesville	35.815626	-80.876846
612	Lake City	33.600557	-84.339628
613	Riverdale	33.561567	-84.414363
614	Athens	33.961409	-83.390779
615	Benton	34.590179	-92.569223
616	Benton	34.569319	-92.586026
617	Topeka	39.015371	-95.652098
618	Athens	33.9278	-83.33707
619	Conyers	33.637452	-84.013921
620	Watkinsville	33.87446	-83.43997
621	Sharpsburg	33.407901	-84.674281
622	Pine Bluff	34.197262	-92.053905
623	Conyers	33.628584	-83.977786
624	Dumas	33.877529	-91.481843
625	Topeka	39.029936	-95.730597
626	Mooresville	35.595844	-80.876421
627	Hampton	33.447204	-84.323794
628	Mooresville	35.555285	-80.861268
629	Covington	33.602945	-83.858217
630	Sheridan	34.306937	-92.398933
631	Brantford	43.165742	-80.274987
632	Kitchener	43.438327	-80.510705
633	Cornelius	35.474186	-80.891293
634	Waterloo	43.469686	-80.514157
635	Gastonia	35.24248	-81.125019
636	Winston Salem	36.15031	-80.278049
637	Cornelius	35.480873	-80.857271
638	Huntersville	35.411391	-80.856112
639	Winston Salem	36.062727	-80.257959
640	Cambridge	43.395648	-80.323859
641	Kosciusko	33.040734	-89.57788
642	Griffin	33.284279	-84.290628
643	Malvern	34.405516	-92.848168
644	Staunton	38.136131	-79.045779
645	Charlotte	35.304759	-80.858481
646	Charlotte	35.341013	-80.769719
647	Salisbury	35.658897	-80.46117
648	Charlotte	35.290541	-80.796598
649	Hot Springs	34.474138	-93.060333
650	Charlotte	35.210801	-80.85852
651	Charlotte	35.13466	-80.938647
652	Charlotte	35.208654	-80.835713
653	Paxico	39.057478	-96.095796
654	Fort Mill	35.059834	-80.992253
655	Charlotte	35.262625	-80.773082
656	Guelph	43.565347	-80.258748
657	Hamilton	43.20103	-79.89413
658	Hamilton	43.257191	-79.933453
659	Rock Hill	34.975804	-81.024959
660	Charlotte	35.088082	-80.860608
661	High Point	35.983049	-80.017319
662	Charlotte	35.202769	-80.72904
663	Philadelphia	32.770657	-89.0939
664	Rock Hill	34.940573	-80.979255
665	Waterdown	43.335251	-79.90177
666	Lake Village	33.3672	-91.30058
667	Charlotte	35.028925	-80.851133
668	West Saint Paul	44.909225	-93.080294
669	Mint Hill	35.172945	-80.658129
670	Matthews	35.081874	-80.729689
671	Greensboro	36.090095	-79.810604
672	Indian Land	34.954599	-80.851524
673	Burlington	43.365552	-79.823156
674	Greensboro	36.038705	-79.835001
675	Greenwood	35.21697	-94.27138
676	Pickens	32.836062	-89.906898
677	Burlington	43.352044	-79.789845
678	Woodstock	38.87088	-78.526257
679	Carthage	32.735717	-89.527962
680	Indian Trail	35.07741	-80.652982
681	Milton	43.48912	-79.8618
682	Milton	43.525342	-79.869978
683	Luray	38.661616	-78.492449
684	Altoona	40.485967	-78.400455
685	Oakville	43.440471	-79.739766
686	Arkadelphia	34.122839	-93.081972
687	Yazoo City	32.86491	-90.39656
688	Georgetown	43.628964	-79.874549
689	Oakville	43.438888	-79.675659
690	Oakville	43.481039	-79.695354
691	Mississauga	43.580808	-79.758703
692	Mississauga	43.5752	-79.739072
693	Albemarle	35.344356	-80.170915
694	Mississauga	43.529071	-79.674605
695	Brampton	43.683686	-79.812824
696	Mississauga	43.550931	-79.689671
697	Breezewood	40.000487	-78.233932
698	Brampton	43.643749	-79.757879
699	Manhattan	39.182111	-96.559907
700	Glenwood	34.326198	-93.551361
701	Mississauga	43.61324	-79.697187
702	Brampton	43.727181	-79.795224
703	Meridian	32.408817	-88.707002
704	Mississauga	43.592985	-79.668206
705	Mississauga	43.588986	-79.643225
706	Mississauga	43.601494	-79.626074
707	Brampton	43.71493	-79.72241
708	Winchester	39.210287	-78.177541
709	Winchester	39.185037	-78.170295
710	Canton	32.607219	-90.066346
711	Stephens City	39.092295	-78.177963
712	Brampton	43.736187	-79.704254
713	Mississauga	43.592652	-79.573587
714	Milledgeville	33.106129	-83.252899
715	Mississauga	43.595108	-79.567619
716	Gurdon	33.920554	-93.154185
717	Macon	32.900274	-83.687737
718	Columbus	32.519227	-84.955271
719	Etobicoke	43.717794	-79.596986
720	Toronto	43.624971	-79.50876
721	Niagara Falls	43.090241	-79.079288
722	Boyce	39.081452	-78.083675
723	Columbus	32.475243	-84.988011
724	Toronto	43.662443	-79.522507
725	Columbus	32.48118	-84.94262
726	Toronto	43.691872	-79.530826
727	Canton	32.512603	-90.08278
728	Madison	32.516608	-90.107723
729	Lincoln	40.844085	-96.739703
730	Evans	33.540825	-82.134172
731	Vaughan	43.824081	-79.61012
732	Toronto	43.65726	-79.43432
733	Toronto	43.634172	-79.412037
734	North York	43.708929	-79.477041
735	Woodbridge	43.787721	-79.547259
736	Mena	34.586263	-94.222322
737	Toronto	43.663582	-79.418281
738	Toronto	43.654302	-79.39072
739	Toronto	43.700159	-79.430026
740	Vaughan	43.844786	-79.560098
741	Madison	32.463937	-90.135638
742	Toronto	43.64226	-79.374889
743	Vaughn	43.82272	-79.53326
744	Toronto	43.656512	-79.380646
